model,strategy,val_pr_auc,val_roc_auc,fit_seconds
xgboost,class_weight,0.8785463231896784,0.9731163190412042,3.1
xgboost,smote,0.8745199124843062,0.9664671110698193,5.9
xgboost,smote_tomek,0.8745199124843062,0.9664671110698193,153.0
random_forest,class_weight,0.8711286891290632,0.9505819726390115,25.6
random_forest,smote,0.8701769855614331,0.9568219561480931,147.6
random_forest,smote_tomek,0.8701769855614331,0.9568219561480931,281.4
lightgbm,smote_tomek,0.856392142578669,0.9574711408928323,147.5
lightgbm,smote,0.856392142578669,0.9574711408928323,8.9
balanced_random_forest,internal,0.8143265218197091,0.9677630127282018,2.4
logistic_regression,class_weight,0.8102309697514679,0.9789909183815674,0.2
logistic_regression,smote,0.8095018116301216,0.9771452710549542,0.6
logistic_regression,smote_tomek,0.8095018116301216,0.9771452710549542,164.6
random_forest,undersample,0.7892694282517592,0.9638536779393321,0.3
xgboost,undersample,0.7678365091485087,0.9765569110884007,0.7
lightgbm,undersample,0.7627682305416416,0.9762307218841455,1.2
logistic_regression,undersample,0.5844754481449123,0.9744360280113347,0.1
lightgbm,class_weight,0.002565137831746257,0.6714950991777768,2.3
