feature,importance_mean,importance_std
V14,0.07895845695332607,0.009133509202317067
V4,0.060725358187690516,0.008653146381067536
V11,0.01652376476708539,0.002942006795501514
Amount_log,0.01231511207145255,0.003511839918675363
V3,0.008488448315822716,0.0018030233911432896
V12,0.006255252716864157,0.004027236988882273
V10,0.0058481082293391886,0.0011649384058829597
V18,0.005565388387630566,0.0016739584550090397
V26,0.005478177038352317,0.0019195924205550302
V7,0.004973168603963796,0.001052234097944819
V28,0.00477214621586326,0.0013705357802368107
V5,0.0032393060428029365,0.0012487167039745043
V19,0.0030171200390746167,0.0015537277432837247
V8,0.0023591026325278986,0.0035968842318053846
V25,0.0023547294949237464,0.0005585386407710787
V27,0.00179673760094905,0.002492838756412545
V6,0.001793789816567548,0.0018839735414476141
V2,0.0017895309672872673,0.0006813005041202265
V21,0.001676576510349337,0.0003518769341995043
V16,0.0016725100444521467,0.0008766006106178721
V20,0.001179799557053407,0.001952870456730129
V23,0.001076803877635868,0.000725461594508978
V22,0.00043340277444816613,0.0007810214033643748
V13,0.00014106490305325624,0.0008553337395715929
V17,-0.0001554619060172513,0.000713168121053065
V24,-0.00037934155473582363,0.0010001249682031466
Hour,-0.0005384343186014995,0.0009029941544673492
V15,-0.0006341179799060015,0.003118065524776004
V9,-0.0019985744120538883,0.0024132604787107563
V1,-0.002428392193826934,0.002196372111431248
